artist,image,title,material,medium,date,location,address,zip,lat,lon,,,
Bob  Coffee,img/HeWasSad.JPG,And He Was Sad,"Bronze, On Stone Base (dims Are Sculpture Only)",Sculpture,1/1/07 0:00,Eastwoods Park,3001 Harris Park Ave,78705,30.29051,-97.731772,,,
Will  Larson,img/NA.jpg,¡ Mira !,"Copper, Aluminum, Neon",Mixed Media,1/1/00 0:00,Lorraine Grandma Camacho Activity Center,34 Robert Martinez Jr St,78702,30.185228,-97.732321,,,
"Sandra  Fiedorek,  David  Heymann",img/56.JPG,56- (Fifty-six Inches),Mixed Media,Mixed Media,1/1/96 0:00,Howson Branch Library,2500 Exposition Blvd,78703,30.298241,-97.767602,,,
"Holli  Brown,  Pascal  Simon",img/HolliBrown_Park.JPG,A Day in the Park,"Handmade Ceramic Tiles, Glass Tiles",Sculpture,1/1/13 0:00,Shipe Neighborhood Park,4400 Ave G,78751,30.307424,-97.727335,,,
Freddie  McCoo,img/NA.jpg,A River Runs Thru Us,Acrylic On Panel,Painting,1/1/04 0:00,George Washington Carver Branch Library,1161 Angelina St,78702,30.26954,-97.724074,,,
Sten Lex,img/Accordion16.JPG,Accordion 16,Exterior Latex On Concrete,Mixed Media,1/1/16 0:00,Seaholm Retaining Wall,211 Walter Seaholm Dr,78701,30.266835,-97.753227,,,
Pat  Oliphant,img/AngelinaEberly.JPG,Angelina Eberly,"Bronze, Granite",Sculpture,1/1/04 0:00,Congress Avenue Streetscape,612 Congress Ave,78701,30.268631,-97.742723,,,
"LaMa Ventures: Philip Lamb, Susan Magilow  ",img/NA.jpg,Aquifer,"Glass, Limestone, Aluminum",Mixed Media,1/1/14 0:00,Second Street District,W Second St,78701,30.263735,-97.741876,,,
Colin  McIntyre,img/NA.jpg,Arboreal Passage,"Steel, Bronze, Copper, Limestone, Wood",Mixed Media,1/1/11 0:00,Austin Nature and Science Center,301 Nature Center Dr,78746,30.272191,-97.773401,,,
"Emily  Little,  Shea  Little, Jana Swec, Steve Wiman",img/NA.jpg,ARFF! Tré Arenz Memorial,"Ceramic Tiles, Rocks, Cement, Paint",Mixed Media,1/1/06 0:00,Butler Hike and Bike Trail at Lady Bird Lake,621 W Cesar Chavez,78701,30.264662,-97.750122,,,
Judd Graham,img/Array1.JPG,Array #1,Mild Steel,Sculpture,1/1/17 0:00,Second Street Bridge and Extension,W 2nd Street Extension,78701,30.266444,-97.751882,,,
Judd Graham,img/Array2.JPG,Array #2,Mild Steel,Sculpture,1/1/17 0:00,Second Street Bridge and Extension,W 2nd Street Extension,78701,30.266432,-97.751859,,,
Judd Graham,img/Array3.JPG,Array #3,Mild Steel,Sculpture,1/1/17 0:00,Second Street Bridge and Extension,W 2nd Street Extension,78701,30.266426,-97.751833,,,
Judd Graham,img/Array4.JPG,Array #4,Mild Steel,Sculpture,1/1/17 0:00,Second Street Bridge and Extension,W 2nd Street Extension,78701,30.266293,-97.751694,,,
Judd Graham,img/Array5.JPG,Array #5,Mild Steel,Sculpture,1/1/17 0:00,Second Street Bridge and Extension,W 2nd Street Extension,78701,30.266288,-97.751668,,,
